Rower_1,Rower_2,Rower_3,Rower_4,Rower_5,Rower_6,Rower_7,Rower_8
92.875,80.1875,92.4375,83.6875,89.1875,93.0,85.625,75.6875
92.125,79.625,90.25,79.5,90.5625,91.0625,85.625,77.875
90.6875,79.3125,92.25,80.25,89.875,93.0,86.5625,78.625
93.125,80.4375,94.3125,79.375,89.625,90.125,86.0625,77.875
91.0625,78.8125,92.5625,81.875,86.0625,90.875,84.875,76.25
92.375,80.5,92.25,78.9375,84.9375,88.875,84.6875,78.125
93.8125,79.3125,89.4375,81.0625,86.25,89.1875,85.5625,76.9375
94.0625,85.125,92.3125,79.375,88.25,96.9375,86.0625,76.125
91.375,79.3125,90.25,82.4375,88.25,91.375,85.8125,77.375
92.625,84.9375,90.3125,81.75,86.4375,90.875,85.5625,76.875
91.5625,79.5,90.5,81.5,86.4375,92.25,86.5,77.875
94.0625,83.3125,89.9375,81.0625,86.5,92.0,87.8125,76.9375
90.6875,79.5,90.25,79.9375,85.5625,89.375,86.0625,78.6875
90.1875,83.8125,92.3125,80.8125,87.125,91.125,85.5625,77.1875
93.8125,86.875,91.8125,82.6875,85.6875,89.625,85.0625,75.25
92.375,83.9375,90.75,80.0,87.1875,91.375,85.125,76.25
93.375,89.8125,91.0,80.5,84.875,93.125,86.25,75.25
91.875,85.75,91.0,81.625,85.625,90.375,86.0625,78.375
91.625,86.6875,90.1875,82.3125,89.1875,90.5625,84.0625,76.9375
91.875,81.8125,92.375,80.125,88.3125,90.75,85.5625,76.6875
89.875,82.875,92.4375,79.5,84.375,92.5625,85.125,77.375
92.875,79.3125,92.4375,79.8125,87.625,89.875,85.5625,74.5625
92.625,82.0625,92.8125,80.9375,87.875,91.5625,86.0625,76.25
91.875,86.375,90.75,80.8125,86.25,90.875,85.125,74.75
91.1875,85.8125,90.4375,78.6875,85.125,89.875,86.0,75.4375
92.875,86.875,91.1875,81.375,84.5625,90.125,85.5625,75.6875
90.875,78.9375,92.3125,81.625,86.1875,91.375,84.8125,77.875
89.625,86.5,90.75,79.625,83.5625,89.4375,86.3125,77.0
92.75,82.875,91.25,82.125,84.875,89.1875,85.5625,75.75
88.875,85.375,91.5625,80.1875,86.6875,91.8125,85.125,77.875
92.75,79.375,93.0,79.9375,86.875,89.875,85.5625,76.0
92.3125,84.8125,92.8125,82.6875,85.375,91.375,86.0625,74.5
92.375,84.75,91.75,83.6875,84.1875,90.625,85.3125,74.3125
90.9375,81.5625,91.25,80.5,86.0,91.375,85.3125,75.9375
92.125,81.3125,90.75,78.8125,86.25,92.0625,86.3125,72.1875
92.875,79.125,91.5,82.3125,84.1875,91.375,85.125,75.75
91.625,78.875,92.5625,82.5625,87.0,89.875,83.625,72.1875
90.1875,80.5,90.6875,83.0625,81.8125,90.875,86.3125,78.125
90.8125,78.8125,92.3125,81.125,84.5625,89.625,85.125,74.0625
89.125,86.625,89.6875,81.5,85.5,90.375,86.0625,76.4375
90.0625,85.9375,90.6875,79.8125,83.9375,90.1875,86.5625,75.25
92.125,82.0625,94.5,79.25,86.0625,91.3125,85.125,76.0
89.4375,86.375,91.0625,79.8125,86.5,89.375,85.8125,76.875
89.1875,80.5625,91.0,78.75,84.1875,89.625,85.375,76.1875
91.125,88.5,90.25,81.0625,83.875,89.125,84.875,74.3125
91.125,81.125,91.5,79.6875,83.5,88.9375,85.8125,77.375
89.875,81.125,90.75,81.75,82.9375,91.5625,85.1875,75.5625
91.875,85.9375,89.9375,80.3125,81.3125,93.125,86.3125,76.6875
91.0625,88.25,91.25,81.5625,85.4375,90.3125,84.75,74.5625
89.9375,81.5625,91.25,82.4375,82.6875,89.4375,85.125,79.0
92.875,80.4375,93.4375,78.4375,83.8125,89.625,85.125,74.8125
91.625,78.1875,89.9375,78.3125,86.0625,90.375,85.375,79.1875
91.125,87.4375,91.75,77.375,83.125,90.375,84.125,74.5625
89.9375,78.4375,90.9375,79.3125,84.9375,91.8125,82.25,76.6875
89.1875,81.0,91.75,80.25,84.4375,89.1875,84.0625,76.0
89.125,85.75,90.25,80.75,83.3125,91.125,83.875,77.6875
89.125,85.9375,90.5,82.0,84.125,90.625,85.875,78.1875
88.875,80.1875,89.9375,80.625,83.0625,91.6875,84.625,78.9375
90.875,83.125,92.5625,77.625,86.3125,91.375,84.125,78.4375
90.625,87.4375,90.25,79.125,82.125,88.6875,86.0625,78.875
90.1875,81.8125,90.5,80.0625,82.375,90.625,84.625,77.1875
91.625,81.25,91.0,80.0625,86.5,90.5625,84.4375,76.9375
83.125,87.6875,90.5,76.625,85.625,93.0,85.625,77.1875
90.4375,80.0625,92.75,79.0,83.4375,91.0625,85.125,77.9375
89.375,81.375,90.0,78.0,80.5625,90.125,85.5625,77.0
91.625,81.75,91.25,79.1875,83.6875,90.8125,85.625,76.9375
92.125,77.625,90.75,76.8125,87.0,90.875,84.375,75.5
90.875,78.4375,91.5,79.375,83.75,90.375,84.4375,75.3125
89.9375,79.625,90.5,79.0,81.125,89.6875,85.9375,78.1875
91.625,81.625,91.25,79.5,84.875,91.9375,84.1875,74.5
87.875,85.375,91.1875,79.875,80.6875,86.375,85.125,75.5
90.1875,81.5625,85.875,78.9375,84.625,90.125,84.875,75.25
91.125,80.6875,90.5,78.5625,83.375,88.6875,84.375,74.8125
90.4375,82.625,91.5,79.9375,83.9375,89.1875,85.5625,78.6875
93.125,85.125,89.9375,79.125,84.3125,89.4375,84.875,75.25
89.6875,79.875,91.8125,78.875,78.5625,91.3125,86.875,77.25
91.375,82.75,91.5,79.6875,84.0,89.875,86.3125,75.25
90.875,79.5,91.75,82.9375,83.6875,90.625,86.0625,76.0625
91.625,81.625,93.75,82.3125,82.1875,89.625,86.0625,76.1875
87.875,85.8125,92.875,79.25,81.8125,91.25,85.8125,76.25
88.375,81.8125,92.3125,79.75,84.6875,88.875,86.3125,78.1875
90.0625,80.875,90.9375,81.375,81.0,92.0,85.125,77.0
88.625,79.5,92.0,78.6875,83.3125,93.125,86.3125,75.5
87.3125,79.9375,93.6875,78.9375,83.0625,92.4375,84.875,75.3125
87.8125,81.5,91.3125,79.9375,84.125,89.375,87.0625,77.0
88.9375,80.1875,92.8125,81.75,84.375,89.125,85.8125,74.125
88.375,78.75,92.0625,79.8125,83.3125,92.5625,85.5625,76.6875
90.625,78.125,92.0625,80.625,84.625,90.125,84.625,77.4375
89.625,78.4375,91.75,79.875,86.75,88.9375,83.1875,76.4375
91.125,79.0,92.8125,80.625,79.0,90.8125,86.125,78.9375
90.8125,80.875,83.4375,81.125,82.6875,92.625,84.8125,77.1875
89.4375,79.3125,90.6875,81.375,82.9375,90.3125,85.875,73.4375
89.4375,82.3125,92.8125,80.25,82.9375,91.3125,85.375,73.875
86.625,86.25,85.3125,80.375,84.375,89.1875,85.5625,75.6875
89.8125,79.5,93.0625,79.875,78.5625,91.0625,84.625,76.9375
84.875,86.875,88.875,79.0,82.9375,91.9375,83.0,75.0
88.875,80.3125,89.625,78.75,83.125,90.5625,84.25,76.0
90.4375,79.625,92.0625,79.6875,82.625,92.5625,85.875,75.75
86.8125,79.125,93.0625,80.375,86.375,93.125,86.3125,77.0
89.875,79.375,95.1875,78.25,82.625,91.9375,84.625,74.0625
91.375,78.5625,91.5,76.9375,84.0,91.125,84.6875,74.9375
86.0625,81.3125,91.5,81.1875,83.5625,90.8125,85.375,75.5
90.4375,80.875,90.75,78.8125,83.25,89.875,83.875,75.5
89.1875,78.25,93.3125,79.0625,81.3125,90.125,85.375,76.9375
88.375,82.3125,84.8125,78.875,85.125,88.9375,84.625,73.125
84.8125,79.1875,83.75,80.5,83.0625,90.3125,83.375,75.5625
86.8125,80.3125,91.8125,77.75,83.3125,90.375,83.25,73.375
91.125,86.0,93.9375,78.4375,81.375,89.4375,82.9375,76.1875
88.125,85.125,89.4375,78.5,80.875,87.0625,84.375,75.6875
91.125,79.875,89.9375,79.5625,81.75,91.75,82.0,72.3125
87.875,80.6875,89.6875,79.0625,82.1875,97.375,81.0625,75.375
88.6875,79.375,92.5625,78.0,82.8125,88.4375,83.4375,74.3125
86.875,80.125,91.5,78.8125,81.125,89.875,85.6875,76.3125
87.875,79.25,89.8125,79.9375,81.3125,89.125,83.5,74.0625
88.0625,80.6875,91.0,78.5625,80.25,89.625,84.5625,78.6875
85.4375,79.5,85.0625,80.375,84.1875,83.5625,82.75,73.875
86.8125,83.1875,83.4375,81.625,81.25,90.5625,82.5,77.0
85.5,77.625,91.25,82.3125,80.25,90.375,83.0625,75.5
89.875,80.625,89.8125,77.3125,80.75,90.3125,83.1875,77.6875
89.125,80.375,89.6875,79.5,81.5,89.25,84.0,78.8125
88.125,80.875,84.25,78.0625,84.375,88.9375,84.875,75.25
89.4375,84.1875,91.1875,79.75,80.6875,87.5625,82.75,76.75
88.375,77.875,91.25,78.4375,77.75,87.5625,83.9375,78.25
89.125,81.5,90.625,79.625,80.6875,90.875,84.5625,79.25
87.375,85.125,91.5,79.5,79.625,90.1875,82.3125,75.0
89.9375,77.5,91.8125,80.0,79.375,88.6875,83.4375,76.25
87.5625,85.0625,91.25,79.5,82.75,89.375,82.875,74.0625
88.375,84.75,91.25,81.3125,83.1875,87.3125,84.1875,77.6875
88.375,85.9375,87.5,80.125,80.1875,89.4375,83.1875,72.5
86.8125,78.875,91.0625,79.375,82.75,89.875,83.8125,77.4375
86.0625,78.625,92.625,78.125,84.9375,88.6875,84.125,73.0
85.125,86.875,91.5625,80.0625,83.375,90.375,84.125,75.25
89.375,85.5625,92.5625,79.125,78.625,87.0625,84.1875,76.0
89.4375,80.0,90.1875,79.6875,79.4375,88.875,83.6875,75.5
88.375,78.125,94.0625,81.9375,82.4375,88.9375,84.125,74.1875
86.625,79.0,94.1875,78.6875,82.0,89.1875,83.0,74.3125
91.75,79.0625,94.0,78.1875,81.0625,87.3125,83.625,75.75
88.375,79.0625,92.5625,77.625,82.375,90.625,84.125,75.0625
87.0625,77.875,93.6875,79.0625,78.5625,88.25,82.75,73.875
90.1875,84.875,93.1875,78.1875,79.4375,89.625,83.4375,74.0625
92.125,86.625,92.3125,80.375,80.6875,91.6875,83.1875,75.0
87.625,82.375,93.125,80.625,79.875,87.75,84.375,76.5625
86.5625,86.875,90.5,80.0625,83.25,89.1875,84.625,75.0625
89.9375,81.25,93.3125,79.6875,79.0,87.8125,85.25,76.9375
86.0,79.9375,95.875,81.875,79.9375,88.5,84.0625,74.0625
90.1875,77.6875,91.75,79.375,81.4375,91.375,83.875,75.25
80.5625,81.125,94.8125,80.25,80.5,88.25,84.625,74.875
86.8125,77.75,86.375,79.5,82.125,91.0625,85.3125,76.1875
88.9375,78.9375,91.8125,76.8125,82.0625,88.1875,84.125,72.75
76.9375,67.6875,71.3125,69.8125,72.125,76.5625,75.125,71.25
